epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,949.706,1.59643,1.34535,1.34241,0.76678,0.90104,0.90326,0.43743,1.85819,1.32338,1.56899,0.000990365,0.000990365,0.000990365
43,970.055,1.54376,1.29435,1.32245,0.78618,0.91304,0.90992,0.44452,1.78624,1.35405,1.49436,0.000973861,0.000973861,0.000973861
44,1010.57,1.51228,1.22665,1.3201,0.8162,0.8913,0.90476,0.44784,1.77955,1.33724,1.50318,0.000957358,0.000957358,0.000957358
45,1032.94,1.52966,1.31413,1.30587,0.77595,0.8959,0.89297,0.41604,1.85622,1.39574,1.54924,0.000940855,0.000940855,0.000940855
46,1052.62,1.53217,1.26546,1.27257,0.81739,0.82257,0.88046,0.40862,1.82377,1.37815,1.55538,0.000924352,0.000924352,0.000924352
47,1072.93,1.50343,1.23048,1.29969,0.83603,0.83715,0.91794,0.41482,1.87422,1.36924,1.59865,0.000907848,0.000907848,0.000907848
48,1093.03,1.56467,1.22109,1.31303,0.85663,0.77966,0.88307,0.39098,1.91376,1.39967,1.62421,0.000891345,0.000891345,0.000891345
49,1113.23,1.63933,1.17918,1.33686,0.83327,0.7649,0.88778,0.3965,1.89627,1.40674,1.61939,0.000874842,0.000874842,0.000874842
50,1133.53,1.52514,1.25831,1.32914,0.79269,0.6915,0.82224,0.37292,1.92925,1.42169,1.65288,0.000858338,0.000858338,0.000858338
51,1155.73,1.55512,1.17711,1.34264,0.7916,0.74115,0.85124,0.38487,1.8649,1.32715,1.60706,0.000841835,0.000841835,0.000841835
52,1185.66,1.49313,1.18749,1.24985,0.77854,0.90444,0.87841,0.40658,1.85039,1.35101,1.59431,0.000825332,0.000825332,0.000825332
53,1205.86,1.49803,1.11926,1.25358,0.78349,0.80435,0.86387,0.40194,1.87552,1.39451,1.59557,0.000808828,0.000808828,0.000808828
54,1249.11,1.51701,1.2966,1.30921,0.80169,0.82609,0.86006,0.34996,2.02125,1.42165,1.66448,0.000792325,0.000792325,0.000792325
55,1278.32,1.42402,1.1412,1.24973,0.78511,0.78146,0.84968,0.36354,2.03629,1.32754,1.64943,0.000775822,0.000775822,0.000775822
56,1297.59,1.48388,1.16619,1.27242,0.82409,0.80526,0.87179,0.40555,1.94228,1.25447,1.59709,0.000759318,0.000759318,0.000759318
57,1316.68,1.55002,1.3313,1.33629,0.78659,0.85022,0.90191,0.41511,1.81031,1.26661,1.5475,0.000742815,0.000742815,0.000742815
58,1335.77,1.41269,1.08999,1.25643,0.87791,0.84156,0.92266,0.43241,1.80763,1.27499,1.53749,0.000726312,0.000726312,0.000726312
59,1354.75,1.5149,1.15183,1.32053,0.7654,0.90467,0.89762,0.41797,1.87584,1.25866,1.5528,0.000709809,0.000709809,0.000709809
60,1373.72,1.50321,1.08502,1.26015,0.75735,0.8913,0.858,0.38641,1.93668,1.20362,1.56676,0.000693305,0.000693305,0.000693305
61,1393.29,1.54988,1.13239,1.30651,0.81991,0.79622,0.86772,0.39657,1.88771,1.20219,1.52172,0.000676802,0.000676802,0.000676802
62,1413.55,1.43441,1.07563,1.23491,0.82175,0.82609,0.89735,0.40021,1.89604,1.24198,1.53457,0.000660299,0.000660299,0.000660299
63,1433.9,1.5626,1.13166,1.32817,0.84207,0.82609,0.90755,0.41796,1.87774,1.24794,1.53128,0.000643795,0.000643795,0.000643795
64,1454.01,1.44916,1.09818,1.30426,0.83958,0.85937,0.93395,0.44865,1.80637,1.23961,1.50134,0.000627292,0.000627292,0.000627292
65,1474.54,1.41019,1.05436,1.26415,0.84396,0.86957,0.93854,0.42342,1.85436,1.16103,1.52336,0.000610789,0.000610789,0.000610789
66,1494.58,1.42772,1.03991,1.25342,0.82449,0.8913,0.94073,0.41923,1.85021,1.17084,1.53124,0.000594286,0.000594286,0.000594286
67,1515.1,1.40478,0.99113,1.20592,0.82766,0.8913,0.93568,0.42507,1.85165,1.16414,1.53979,0.000577782,0.000577782,0.000577782
68,1534.31,1.37884,1.02692,1.25636,0.84247,0.85841,0.92469,0.43079,1.88146,1.13298,1.53442,0.000561279,0.000561279,0.000561279
69,1553.49,1.376,0.94738,1.24108,0.83508,0.84783,0.92511,0.42935,1.88132,1.10089,1.5381,0.000544776,0.000544776,0.000544776
70,1572.77,1.36341,0.98936,1.20107,0.8548,0.84783,0.92874,0.43228,1.87502,1.10331,1.55746,0.000528272,0.000528272,0.000528272
71,1591.77,1.37415,0.96572,1.2254,0.86732,0.86957,0.94569,0.44282,1.87416,1.12092,1.58613,0.000511769,0.000511769,0.000511769
72,1610.97,1.38266,0.94159,1.2262,0.85649,0.86957,0.94253,0.44231,1.8613,1.11097,1.58859,0.000495266,0.000495266,0.000495266
73,1630.31,1.4509,1.01125,1.27736,0.86364,0.91304,0.94123,0.4373,1.87806,1.16919,1.59203,0.000478762,0.000478762,0.000478762
74,1650.46,1.34661,0.98474,1.20423,0.85349,0.91304,0.94193,0.43652,1.89314,1.2043,1.60289,0.000462259,0.000462259,0.000462259
75,1670.94,1.42983,1.04007,1.27551,0.78269,0.89217,0.92924,0.42433,1.91098,1.18793,1.6163,0.000445756,0.000445756,0.000445756
76,1691.02,1.34733,0.99776,1.24036,0.92941,0.83713,0.93041,0.41361,1.96761,1.17701,1.66254,0.000429253,0.000429253,0.000429253
77,1710.92,1.41873,1.01264,1.27099,0.79752,0.91304,0.89114,0.40917,1.97176,1.19923,1.66906,0.000412749,0.000412749,0.000412749
78,1731.08,1.41521,0.97503,1.25536,0.83163,0.85994,0.89543,0.40496,1.95095,1.17067,1.65842,0.000396246,0.000396246,0.000396246
79,1751.72,1.33525,0.92439,1.20534,0.86386,0.86957,0.91607,0.40701,1.92453,1.12491,1.63202,0.000379743,0.000379743,0.000379743
80,1772.3,1.29109,0.90262,1.18153,0.90615,0.86879,0.92112,0.41971,1.92005,1.14639,1.63032,0.000363239,0.000363239,0.000363239
81,1792.51,1.30376,0.86044,1.18568,0.88929,0.84783,0.92665,0.41218,1.93592,1.16091,1.63486,0.000346736,0.000346736,0.000346736
82,1812.55,1.36459,0.91597,1.21252,0.85509,0.83455,0.9213,0.40628,1.94617,1.15391,1.63993,0.000330233,0.000330233,0.000330233
83,1832.78,1.33138,0.95736,1.18882,0.91096,0.8641,0.95865,0.4308,1.89859,1.12004,1.62053,0.000313729,0.000313729,0.000313729
84,1853.46,1.25003,0.95986,1.19631,0.9323,0.88503,0.96302,0.43039,1.88267,1.11532,1.61177,0.000297226,0.000297226,0.000297226
85,1874.18,1.31262,0.93786,1.19797,0.87666,0.91304,0.95399,0.42747,1.87603,1.10171,1.6001,0.000280723,0.000280723,0.000280723
86,1899.64,1.27298,0.92219,1.19555,0.85926,0.86957,0.91642,0.43694,1.87293,1.10109,1.59481,0.00026422,0.00026422,0.00026422
87,1948.83,1.34323,0.92115,1.2152,0.87853,0.86957,0.92237,0.43508,1.87535,1.08291,1.58281,0.000247716,0.000247716,0.000247716
88,1990.79,1.35137,0.95092,1.19621,0.8399,0.84697,0.89311,0.41643,1.87779,1.0796,1.56797,0.000231213,0.000231213,0.000231213
89,2029.59,1.44914,0.95809,1.24074,0.84043,0.84532,0.89906,0.4127,1.8867,1.07704,1.56425,0.00021471,0.00021471,0.00021471
90,2068.78,1.29406,0.88044,1.18227,0.8667,0.80702,0.89385,0.42113,1.90602,1.08732,1.57381,0.000198206,0.000198206,0.000198206
91,2088.66,1.25824,0.86211,1.17781,0.81426,0.86957,0.89714,0.4152,1.91799,1.10914,1.60373,0.000181703,0.000181703,0.000181703
92,2108.71,1.24038,0.84849,1.20161,0.83884,0.86782,0.90503,0.41165,1.93616,1.11356,1.62791,0.0001652,0.0001652,0.0001652
93,2128.88,1.24398,0.86724,1.19213,0.82278,0.86699,0.90598,0.41248,1.93043,1.11546,1.63803,0.000148696,0.000148696,0.000148696
94,2149.24,1.22154,0.83292,1.18832,0.82168,0.86957,0.903,0.42153,1.91304,1.09987,1.62926,0.000132193,0.000132193,0.000132193
95,2168.99,1.23182,0.81758,1.17676,0.84147,0.86957,0.90769,0.42408,1.91186,1.09038,1.62493,0.00011569,0.00011569,0.00011569
96,2188.53,1.21778,0.80253,1.1549,0.83888,0.85282,0.90795,0.4288,1.90408,1.07705,1.61029,9.91865e-05,9.91865e-05,9.91865e-05
97,2207.64,1.1663,0.80667,1.11923,0.84852,0.85361,0.90421,0.42464,1.90166,1.0768,1.60373,8.26832e-05,8.26832e-05,8.26832e-05
98,2227.84,1.24326,0.82247,1.17895,0.79412,0.86217,0.91036,0.42709,1.89905,1.07357,1.59571,6.61799e-05,6.61799e-05,6.61799e-05
99,2248.46,1.18056,0.81192,1.1263,0.82855,0.84162,0.914,0.42579,1.89919,1.0711,1.5941,4.96766e-05,4.96766e-05,4.96766e-05
100,2268.59,1.2114,0.80555,1.14189,0.82755,0.83694,0.914,0.42827,1.89887,1.07448,1.59585,3.31733e-05,3.31733e-05,3.31733e-05
